Aceclofenac Gel-Cream (1.5%)




Aceclofenac Instant Granules (50 mg)





Acetylsalicylic Acid + Paracetamol (= Acetaminophen) + Caffeine Tablets (250 mg + 250 mg + 50 mg)






Acetylsalicylic Acid + Paracetamol (= Acetaminophen) + Caffeine Tablets (400 mg + 100 mg + 30 mg)






Acetylsalicylic Acid + Paracetamol (= Acetaminophen) Tablets (250 mg + 250 mg)




Acetylsalicylic Acid + Vitamin C Tablets (325 mg + 250 mg) 1






Acetylsalicylic Acid + Vitamin C Tablets (325 mg + 250 mg) 2





Acetylsalicylic Acid Tablets (400 mg)



Acetylsalicylic Acid Tablets (500 mg)




Acyclovir Oral Suspension (2% = 200 mg/10 ml)






Albendazole Dry Syrup or Instant Granules (200 mg)





Albendazole Tablets (100 mg)



Alginic Acid + Aluminium Hydroxide + Magnesium Silicate Tablets (500 mg + 100 mg + 25 mg 1









Aloe Vera Gel






Alpha-Bisabolol Aqueous Mouth Wash Solution (0.2%)






Alpha-Bisabolol Buccal or Topical Solution (0.1%)




Alpha-Bisabolol Ethanolic Mouth Wash Solution (1%)





Alpha-Bisabolol Mouth Wash Solution (0.5%)





"Alpha-Methyldopa Tablet Cores (250 mg), DC"


"Alpha-Methyldopa Tablet Cores (250 mg), WG 1"





"Alpha-Methyldopa Tablet Cores (250 mg), WG 2"





"Alpha-Methyldopa Tablets (500 mg), DC 1"






"Alpha-Methyldopa Tablets (500 mg), DC 2"






"Alpha-Methyldopa Tablets (500 mg), WG 1"






"Alpha-Methyldopa Tablets (500 mg), WG 2"







Alprazolam Tablets (0.5 mg)


Aluminium Acetylsalicylate Tablets (250 mg)







Aluminium Hydroxide + Magnesium Carbonate Dry Syrup (12.5% + 12.5%)








Aluminium hydroxide + Magnesium carbonate/oxide + Simethicone Tablets (150 mg + 250 mg + 90 mg)










Aluminium Hydroxide + Magnesium Hydroxide + Simethicone Suspension (8% + 8% + 0.8%)










Aluminium Hydroxide + Magnesium Hydroxide Chewable Tablets (200 mg + 200 mg)










Aluminium Hydroxide + Magnesium Hydroxide Suspension (4% + 4%)





Aluminium Hydroxide + Magnesium Silicate Chewable Tablets (120 mg + 250 mg) 1






Ambroxol Tablets (30 mg)


Aminophylline Tablets (90 mg) 1






Aminophylline Tablets (90 mg) 2





"Aminophylline Tablets (100 mg), I"




"Aminophylline Tablets (100 mg), II"



Amitryptylline Tablets (10 mg)


Amitryptylline Tablets (25 mg)


Amoxicillin Dry Syrup (5% = 500 mg/10 ml)







Amoxicillin Lyophylisate for Injection (250 mg)


Amoxicillin Tablets (125 mg)





Ampicillin + Cloxacillin Oily Suspension (1.5% + 4.0%)




Ampicillin Dry Syrup (5% = 500 mg/10 ml)







Ampicillin Tablets (250 mg)


Ampicillin Tablets (500 mg) 1






Ampicillin Tablets (500 mg) 2






Anise Oil Solution (1%)




Asparagus Extract + Parsley Extract Tablets (200 mg + 200 mg)





Aspartame Effervescent Tablets (20 mg)





"Aspartame Tablets (25 mg), DC"




"Aspartame Tablets (25 mg), WG"





Atenolol Tablets (90 mg)




Azithromycin Dry Syrup (5% = 500 mg/10 ml)








Azithromycin Suspension (5% = 500 mg/10 ml)








Azulene solution (1%)


Barium Sulfate Oral Suspension (23%)





Basic Cream for Different Active Ingredients






Benzhexol Tablets (5 mg) 1


Benzhexol Tablets (5 mg) 2




Benzoyl Peroxide + Alpha-Bisabolol Gel (5.0% + 0.2%)








Benzyl Benzoate Solution (10%)



"Benzylpenicilline + Dihydrostreptomycin Injectable Suspension (200,000 units + 200 mg/ml)"






Berberine Tablets (5 mg)



Beta carotene + Vitamin C + Vitamin E Chewable Tablets (10 mg + 500 mg + 250 mg)







Beta carotene + Vitamin C + Vitamin E Tablets (6 mg + 100 mg + 30 mg) 1




Beta carotene + Vitamin C + Vitamin E Tablets (6 mg + 100 mg + 30 mg) 2






Beta carotene + Vitamin C + Vitamin E Tablets (7 mg + 60 mg + 25 mg)





Beta carotene + Vitamin C + Vitamin E Tablets (12 mg + 250 mg + 125 mg)







Beta carotene Effervescent Tablets (7 mg)








Beta carotene Tablets (15 mg) 1



Beta carotene Tablets (15 mg) 2






Beta carotene Tablets (20 mg)



Betamethasone + Neomycin Gel-Cream (0.1% + 0.6%)





Betamethasone Cream (0.1%)







Betamethasone Gel (0.1%)




Bifonazole Cream (1%)







"Bran Tablets (250 mg), DC"




"Bran Tablets (250 mg), WG"





Bromhexine Tablets (8 mg) 1




Bromhexine Tablets (8 mg) 2


Bromocriptine Tablet Cores (6 mg)


Calcium Carbonate Tablets (500 mg)




Calcium Effervescent Tablets (250 mg Ca)










Calcium Gluconate Tablets (350 mg)





Calcium Glycerophosphate Tablets (200 mg)



Calcium Glycerophosphate Tablets (500 mg)





Calcium Phosphate Tablets for Cats and Dogs (400 mg) 1






Calcium Phosphate Tablets for Cats and Dogs (400 mg) 2







Captopril Tablets (25 mg)



Carbamazepine Tablets (200 mg)


Carbonyl Iron + Copper Sulfate + Manganese Sulfate Tablets (24 mg + 0.16 mg + 3.5 mg)




Carnitine + Coenzym Q Solution (4.0% + 0.1%)





Caroate Dispersible Cleaning Tablets (880 mg)





Caroate Effervescent Cleaning Tablets (650 mg)






Charcoal Tablets (250 mg)






Chloramphenicol Ophthalmic Solution (3%)



Chloramphenicol Palmitate Oral or Topical Emulsion (2.5% = 250 mg/10 ml)





Chloramphenicol Palmitate Oral or Topical Emulsion (5.0% = 500 mg/10 ml)





Chlorhexidine Gel (2%)



Chlorhexidine Lozenges (5 mg)








Chloroquine Tablets (250 mg)






Choline Theophyllinate Tablets (100 mg)


Chymotrypsine Tablets (27 mg)


Cimetidine Tablets (200 mg)


Cimetidine Tablets (280 mg)




Cimetidine Tablets (400 mg)




Clenbuterol Tablets (20 µg)


Clobazam Tablets (10 mg)




Clomifen Citrate Tablets (50 mg)


Closantel Veterinary Injectable Solution (12 - 20 g/100 ml)





Clotrimazol Topical Solution (3%)




Clotrimazole Cream (1%)







Crospovidone Effervescent Tablets (1000 mg)








Crospovidone Water Dispersible Tablets (1000 mg)






Cyproheptadine Tablet (4 mg)


Dexpanthenol Gel-Cream (5%)




Diazepam Injectable Solution (2.5 mg/ml)




Diazepam Tablet (10 mg)


