Aceclofenac,1
Miglyol® 812,6
Lutrol E 400,3
Water purified,13
Lutrol F 127,3
Aceclofenac,1
Flavor,7
Sorbitol,3
Lutrol F 68,3
Cremophor RH 40,3
Water purified,13
Acetylsalicylic acid,1
Paracetamol,1
Caffeine,1
Kollidon 90F,3
Isopropanol,3
Magnesium stearate,2
Kollidon CL,3
Acetylsalicylic acid,1
Paracetamol,1
Caffeine,1
Ludipress,6
Kollidon CL,3
Polyethylene glycol 6000,3
Stearic acid,9
Acetylsalicylic acid,1
Paracetamol,1
Cellulose,3
Kollidon 30,3
Kollidon CL,3
Acetylsalicylic acid,1
Ascorbic acid,1
Sorbitol,3
Cellulose,3
Kollidon VA 64,3
Kollidon CL,3
Magnesium stearate,2
Acetylsalicylic acid,1
Ascorbic acid,1
Cellulose,3
Kollidon VA 64,3
Kollidon CL,3
Magnesium stearate,2
Acetylsalicylic acid ,1
Ludipress,6
Stearic acid,9
Kollidon CL,3
Acetylsalicylic acid,1
Cellulose,3
Kollidon 30,3
Kollidon CL,3
Magnesium stearate,2
Acyclovir,1
Kollidon CL-M,3
Kollidon 30,3
Sorbitol,3
Citric acid,10
Preservative,10
Water purified,13
Albendazole,1
Citric acid,10
Sodium citrate,10
Sorbitol ,3
Ethanol,3
Lutrol F 68,3
Albendazole,1
Ludipress,6
Magnesium stearate,2
Silicon dioxide,9
Alginic acid,1
Aluminium hydroxide ,1
Magnesium trisilicate,1
Sodium bicarbonate,6
Sorbitol,3
Sucrose,3
Ludipress,6
Kollidon VA 64,3
Magnesium stearate,2
Flavor,7
Aloe vera extract 200 fold,1
Propylene glycol,3
Preservative,10
Water purified,13
Cremophor RH 40,3
Perfume,7
Lutrol F 127,3
Alpha-Bisabolol,1
Flavor,7
Cremophor RH 40,3
Glycerol,9
Saccharin sodium,12
Preservative,10
Water purified,13
Alpha-Bisabolol,1
Cremophor RH 40,3
Butylhydroxytoluene,10
Preservative,10
Water purified,13
Alpha-Bisabolol,1
Flavor,7
Cremophor RH 40,3
Glycerol,9
Saccharin sodium,12
Ethanol,3
Alpha-Bisabolol,1
Lutrol F 127,3
Flavor,7
Propylene glycol,3
Ethanol,3
Water purified,13
Alpha-Methyldopa,1
Ludipress,6
Stearic acid,9
Alpha-Methyldopa,1
Lactose,3
Kollidon 30,3
Isopropanol,3
Kollidon CL,3
Magnesium stearate,2
Alpha-Methyldopa,1
Calcium phosphate,3
Kollidon 30,3
Isopropanol,3
Kollidon CL,3
Magnesium stearate,2
Alpha-Methyldopa,1
Cellulose,3
Kollidon VA 64,3
Kollidon CL,3
Talc,9
Silicon dioxide,9
Magnesium stearate,2
Alpha-Methyldopa,1
Cellulose,3
Kollidon VA 64,3
Kollidon CL,3
Talc,9
Silicon dioxide,9
Calcium arachinate,9
Alpha-Methyldopa,1
Lactose,3
Kollidon 30,3
Isopropanol,3
Kollidon CL,3
Silicon dioxide,9
Magnesium stearate,2
Alpha-Methyldopa,1
Corn starch,3
Kollidon 90F,3
Isopropanol,3
Kollidon CL,3
Talc,9
Silicon dioxide,9
Calcium arachinate,9
Alprazolam,1
Ludipress,6
Magnesium stearate,2
Aluminium acetylsalicylate,1
Mannitol,3
Corn starch,3
Kollidon 90F,3
Lutrol E 6000,3
Isopropanol,3
Kollidon CL,3
Magnesium stearate,2
Aluminium hydroxide ,1
Magnesium carbonate,1
Kollidon CL-M,3
Sorbitol ,3
Flavor,7
Kollidon 30,3
Flavor,7
Saccharin sodium,12
Water purified,13
Sucrose,3
Aluminium hydroxide,1
Magnesium carbonate,1
Magnesium oxide,1
Kollidon 90F,3
Silicon dioxide,9
Simethicone ,1
Menthol,7
Saccharin sodium,12
Talc,9
Magnesium stearate,2
Simethicone,1
Cremophor RH 40,3
Water purified,13
Aluminium hydroxide,1
Magnesium hydroxide,1
Kollidon CL-M,3
Sorbitol,3
Flavor,7
Saccharin sodium,12
Water purified,13
Citric acid,10
Aluminium hydroxide,1
Magnesium hydroxide,1
Lactose,3
Kollidon VA 64,3
Water purified,13
Sucrose,3
Sorbitol ,3
Polyethylene glycol 6000 ,3
Silicon dioxide,9
Talc,9
Magnesium stearate,2
Aluminium hydroxide,1
Magnesium hydroxide,1
Cremophor RH 40,3
Silicon oil DC 200,3
Kollidon CL-M,3
Water purified,13
Aluminium hydroxide,1
Magnesium trisilicate,1
Ludipress,6
Silicon dioxide,9
Magnesium stearate,2
Cyclamate sodium,12
Menthol,7
Ambroxol hydrochloride,1
Ludipress,6
Magnesium stearate,2
Aminophylline ,1
Potato starch,3
Kollidon VA 64,3
Kollidon VA 64,3
Water purified,13
Magnesium stearate,2
Talc,9
Aminophylline ,1
Corn starch,3
Kollidon VA 64,3
Kollidon VA 64,3
Water purified,13
Polyethylene glycol 6000 ,3
Aminophylline,1
Cellulose,3
Kollidon VA 64,3
Magnesium stearate,2
Silicon dioxide,9
Aminophylline,1
Ludipress,6
Silicon dioxide,9
Magnesium stearate,2
Amitryptylline,1
Ludipress,6
Magnesium stearate,2
Amitryptylline,1
Ludipress,6
Magnesium stearate,2
Amoxicillin,1
Sodium citrate,10
Citric acid ,10
Sodium gluconate,13
Sorbitol ,3
Kollidon CL-M,3
Flavor,7
Saccharin sodium,12
